"codigopostalid","poblacionid","poblacion","provinciaid","provincia","ineid","lat","lon"
"01001","059","Vitoria-Gasteiz","01","Araba/Álava","01059000000","-2.672756850","42.850587890"
"01002","059","Vitoria-Gasteiz","01","Araba/Álava","01059000000","-2.672756850","42.850587890"
"01003","059","Vitoria-Gasteiz","01","Araba/Álava","01059000000","-2.672756850","42.850587890"
"01004","059","Vitoria-Gasteiz","01","Araba/Álava","01059000000","-2.672756850","42.850587890"
"01005","059","Vitoria-Gasteiz","01","Araba/Álava","01059000000","-2.672756850","42.850587890"
"01006","059","Vitoria-Gasteiz","01","Araba/Álava","01059000000","-2.672756850","42.850587890"
"01007","059","Vitoria-Gasteiz","01","Araba/Álava","01059000000","-2.672756850","42.850587890"
"01008","059","Vitoria-Gasteiz","01","Araba/Álava","01059000000","-2.672756850","42.850587890"
"01009","059","Vitoria-Gasteiz","01","Araba/Álava","01059000000","-2.672756850","42.850587890"
"01010","059","Vitoria-Gasteiz","01","Araba/Álava","01059000000","-2.672756850","42.850587890"
"01012","028","Labastida/Bastida","01","Araba/Álava","01028000000","-2.792887050","42.590761050"
"01012","059","Vitoria-Gasteiz","01","Araba/Álava","01059000000","-2.672756850","42.850587890"
"01013","059","Vitoria-Gasteiz","01","Araba/Álava","01059000000","-2.672756850","42.850587890"
"01015","059","Vitoria-Gasteiz","01","Araba/Álava","01059000000","-2.672756850","42.850587890"
"01110","017","Campezo/Kanpezu","01","Araba/Álava","01017000000","-2.352076930","42.669712090"
"01117","017","Campezo/Kanpezu","01","Araba/Álava","01017000000","-2.352076930","42.669712090"
"01117","056","Harana/Valle de Arana","01","Araba/Álava","01056000000","-2.331046870","42.752891940"
"01118","016","Bernedo","01","Araba/Álava","01016000000","-2.498254390","42.626769890"
"01118","030","Lagrán","01","Araba/Álava","01030000000","-2.584233770","42.626214640"
"01118","109","Condado de Treviño","09","Burgos","09109000000","-2.747459200","42.735328790"
"01120","037","Arraia-Maeztu","01","Araba/Álava","01037000000","-2.446638720","42.740002170"
"01128","016","Bernedo","01","Araba/Álava","01016000000","-2.498254390","42.626769890"
"01128","037","Arraia-Maeztu","01","Araba/Álava","01037000000","-2.446638720","42.740002170"
"01128","017","Campezo/Kanpezu","01","Araba/Álava","01017000000","-2.352076930","42.669712090"
"01129","037","Arraia-Maeztu","01","Araba/Álava","01037000000","-2.446638720","42.740002170"
"01130","063","Zuia","01","Araba/Álava","01063000000","-2.818628540","42.955977630"
"01138","018","Zigoitia","01","Araba/Álava","01018000000","-2.730330020","42.962106090"
"01139","063","Zuia","01","Araba/Álava","01063000000","-2.818628540","42.955977630"
"01160","003","Aramaio","01","Araba/Álava","01003000000","-2.565400370","43.051196530"
"01165","003","Aramaio","01","Araba/Álava","01003000000","-2.565400370","43.051196530"
"01169","003","Aramaio","01","Araba/Álava","01003000000","-2.565400370","43.051196530"
"01170","058","Legutio","01","Araba/Álava","01058000000","-2.642559290","42.979874400"
"01171","058","Legutio","01","Araba/Álava","01058000000","-2.642559290","42.979874400"
"01191","059","Vitoria-Gasteiz","01","Araba/Álava","01059000000","-2.672756850","42.850587890"
"01191","901","Iruña Oka/Iruña de Oca","01","Araba/Álava","01901000000","-2.814754300","42.818191260"
"01192","059","Vitoria-Gasteiz","01","Araba/Álava","01059000000","-2.672756850","42.850587890"
"01192","021","Elburgo/Burgelu","01","Araba/Álava","01021000000","-2.546018150","42.849405750"
"01193","059","Vitoria-Gasteiz","01","Araba/Álava","01059000000","-2.672756850","42.850587890"
"01193","001","Alegría-Dulantzi","01","Araba/Álava","01001000000","-2.712437310","42.939811580"
"01193","021","Elburgo/Burgelu","01","Araba/Álava","01021000000","-2.546018150","42.849405750"
"01193","027","Iruraiz-Gauna","01","Araba/Álava","01027000000","-2.473965490","42.831085710"
"01194","016","Bernedo","01","Araba/Álava","01016000000","-2.498254390","42.626769890"
"01194","059","Vitoria-Gasteiz","01","Araba/Álava","01059000000","-2.672756850","42.850587890"
"01195","901","Iruña Oka/Iruña de Oca","01","Araba/Álava","01901000000","-2.814754300","42.818191260"
"01195","059","Vitoria-Gasteiz","01","Araba/Álava","01059000000","-2.672756850","42.850587890"
"01196","059","Vitoria-Gasteiz","01","Araba/Álava","01059000000","-2.672756850","42.850587890"
"01196","018","Zigoitia","01","Araba/Álava","01018000000","-2.730330020","42.962106090"
"01200","051","Agurain/Salvatierra","01","Araba/Álava","01051000000","-2.388743910","42.850022650"
"01206","027","Iruraiz-Gauna","01","Araba/Álava","01027000000","-2.473965490","42.831085710"
"01206","013","Barrundia","01","Araba/Álava","01013000000","-2.494074520","42.915375380"
"01207","053","San Millán/Donemiliaga","01","Araba/Álava","01053000000","-2.377489020","42.873825710"
"01207","051","Agurain/Salvatierra","01","Araba/Álava","01051000000","-2.388743910","42.850022650"
"01207","027","Iruraiz-Gauna","01","Araba/Álava","01027000000","-2.473965490","42.831085710"
"01208","009","Asparrena","01","Araba/Álava","01009000000","-2.316707540","42.889687680"
"01208","013","Barrundia","01","Araba/Álava","01013000000","-2.494074520","42.915375380"
"01208","061","Zalduondo","01","Araba/Álava","01061000000","-2.346508250","42.885809710"
